grad_out_shape,query_shape,key_shape,value_shape
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])"
